,tree_dbh,health,status,latitude,longitude,spc_latin,Type,Final Grade
0,13,100,Alive,40.69199129,-73.82114902,Metasequoia glyptostroboides,1,1.13
1,4,50,Alive,40.69161541,-73.82096547,Metasequoia glyptostroboides,1,0.54
2,3,100,Alive,40.69153616,-73.82092678,Ulmus americana,1,1.03
3,15,100,Alive,40.69210017,-73.82832551,Gleditsia triacanthos var. inermis,1,1.15
4,18,50,Alive,40.69166655,-73.829862,Gleditsia triacanthos var. inermis,1,0.68
5,12,100,Alive,40.6921299,-73.82821961,Gleditsia triacanthos var. inermis,1,1.12
6,24,100,Alive,40.69382431,-73.82753579,Quercus palustris,1,1.24
7,21,50,Alive,40.69385554,-73.82742485,Quercus palustris,1,0.71
8,4,100,Alive,40.69394083,-73.8271218,Quercus palustris,1,1.04
9,26,100,Alive,40.69379328,-73.82764605,Quercus palustris,1,1.26
10,19,50,Alive,40.68967489,-73.82221726,Acer rubrum,1,0.69
11,23,50,Alive,40.69407543,-73.82728544,Quercus palustris,1,0.73
12,17,50,Alive,40.69412078,-73.82707632,Quercus palustris,1,0.67
13,22,100,Alive,40.69322963,-73.82436567,Platanus x acerifolia,1,1.22
14,19,100,Alive,40.69321395,-73.82441918,Platanus x acerifolia,1,1.19
15,5,100,Alive,40.69190202,-73.82110543,Tilia americana,1,1.05
16,22,0,Alive,40.69409821,-73.82718036,Quercus palustris,1,0.22
17,26,100,Alive,40.6932463,-73.8243088,Platanus x acerifolia,1,1.26
18,22,100,Alive,40.69318198,-73.82452821,Platanus x acerifolia,1,1.22
19,18,100,Alive,40.69319875,-73.824471,Platanus x acerifolia,1,1.18
20,23,100,Alive,40.69316679,-73.82458003,Platanus x acerifolia,1,1.23
21,3,100,Alive,40.6935223,-73.82331912,Platanus x acerifolia,1,1.03
22,22,100,Alive,40.69313473,-73.8246894,Platanus x acerifolia,1,1.22
23,4,100,Alive,40.69388705,-73.8273129,Quercus palustris,1,1.04
24,23,100,Alive,40.69404925,-73.82740613,Quercus palustris,1,1.23
25,18,50,Alive,40.69427445,-73.82240225,Ginkgo biloba,1,0.68
26,18,100,Alive,40.69031163,-73.83471829,Quercus palustris,1,1.18
27,33,100,Alive,40.69315239,-73.83071821,Quercus palustris,1,1.33
28,38,100,Alive,40.69282391,-73.83188216,Quercus palustris,1,1.38
29,32,100,Alive,40.69289219,-73.83164428,Quercus palustris,1,1.32
30,4,100,Alive,40.69472939,-73.82280057,Zelkova serrata,1,1.04
31,32,100,Alive,40.69312367,-73.83082036,Quercus palustris,1,1.32
32,4,100,Alive,40.69471057,-73.82286562,Zelkova serrata,1,1.04
33,32,100,Alive,40.69424668,-73.82648095,Quercus palustris,1,1.32
34,12,100,Alive,40.69029142,-73.83478728,Quercus palustris,1,1.12
35,32,100,Alive,40.69434157,-73.82243516,Ginkgo biloba,1,1.32
36,9,100,Alive,40.69182174,-73.82106623,Metasequoia glyptostroboides,1,1.09
37,6,100,Alive,40.69250019,-73.82139753,Taxodium ascendens,1,1.06
38,4,100,Alive,40.69223571,-73.82126838,Tilia americana,1,1.04
39,18,50,Alive,40.69208477,-73.8344895,Pyrus calleryana,1,0.68
40,20,100,Alive,40.69187859,-73.83458977,Pyrus calleryana,1,1.2
41,3,0,Alive,40.69474173,-73.82445162,Quercus rubra,1,0.03
42,6,50,Alive,40.69237978,-73.82133873,Taxodium ascendens,1,0.56
43,23,100,Alive,40.69175038,-73.83452547,Pyrus calleryana,1,1.23
44,25,100,Alive,40.69352706,-73.82940375,Quercus palustris,1,1.25
45,20,50,Alive,40.69356205,-73.82928119,Quercus palustris,1,0.7
46,21,0,Alive,40.69376353,-73.82857119,Quercus palustris,1,0.21
47,24,50,Alive,40.6938322,-73.82833273,Quercus palustris,1,0.74
48,5,100,Alive,40.69243354,-73.83326007,Quercus palustris,1,1.05
49,38,100,Alive,40.69269661,-73.83233575,Quercus palustris,1,1.38
50,36,50,Alive,40.6943042,-73.82621338,Quercus palustris,1,0.86
51,17,100,Alive,40.69142189,-73.83436074,Acer pseudoplatanus,1,1.17
52,34,100,Alive,40.69291929,-73.82544093,Platanus x acerifolia,1,1.34
53,20,100,Alive,40.69360042,-73.82914681,Quercus palustris,1,1.2
54,4,100,Alive,40.69243793,-73.82136712,Liquidambar styraciflua,1,1.04
55,12,50,Alive,40.69126784,-73.83172644,Acer platanoides,1,0.62
56,12,100,Alive,40.68939052,-73.82207769,Prunus,0,0.0
