Species,Type,URL Links
Acer rubrum,deciduous,https://en.wikipedia.org/wiki?curid=181178
Quercus palustris,deciduous,https://en.wikipedia.org/wiki?curid=76959
Gleditsia triacanthos var. inermis,deciduous,https://en.wikipedia.org/wiki?curid=238979
Tilia americana,deciduous,https://en.wikipedia.org/wiki?curid=2960920
Platanus x acerifolia,deciduous,https://en.wikipedia.org/wiki?curid=349299
Ginkgo biloba,deciduous,https://en.wikipedia.org/wiki?curid=67963
Quercus phellos,deciduous,https://en.wikipedia.org/wiki?curid=3224420
Acer pseudoplatanus,deciduous,https://en.wikipedia.org/wiki?curid=437919
Acer ginnala,deciduous,https://en.wikipedia.org/wiki?curid=4041335
Acer campestre,deciduous,https://en.wikipedia.org/wiki?curid=437923
Ulmus americana,deciduous,https://en.wikipedia.org/wiki?curid=74223
Fraxinus,deciduous,https://en.wikipedia.org/wiki?curid=66706
Malus,deciduous,https://en.wikipedia.org/wiki?curid=289445
Acer saccharinum,deciduous,https://en.wikipedia.org/wiki?curid=174929
Corylus colurna,deciduous,https://en.wikipedia.org/wiki?curid=1492105
Prunus serotina,deciduous,https://en.wikipedia.org/wiki?curid=1804896
Juniperus virginiana,coniferous,https://en.wikipedia.org/wiki?curid=446150
Acer platanoides,deciduous,https://en.wikipedia.org/wiki?curid=178345
Liriodendron tulipifera,deciduous,https://en.wikipedia.org/wiki?curid=322543
Quercus acutissima,deciduous,https://en.wikipedia.org/wiki?curid=2685394
Styphnolobium japonicum,deciduous,https://en.wikipedia.org/wiki?curid=15743477
Quercus bicolor,deciduous,https://en.wikipedia.org/wiki?curid=204577
Chionanthus retusus,deciduous,https://en.wikipedia.org/wiki?curid=12504766
Magnolia grandiflora,evergreen,https://en.wikipedia.org/wiki?curid=496263
Liquidambar styraciflua,deciduous,https://en.wikipedia.org/wiki?curid=476504
Pyrus calleryana,deciduous,https://en.wikipedia.org/wiki?curid=887097
Quercus coccinea,deciduous,https://en.wikipedia.org/wiki?curid=2604649
Chamaecyparis thyoides,coniferous,https://en.wikipedia.org/wiki?curid=442596
Quercus velutina,deciduous,https://en.wikipedia.org/wiki?curid=181193
Zelkova serrata,deciduous,https://en.wikipedia.org/wiki?curid=47836398
Quercus alba,deciduous,https://en.wikipedia.org/wiki?curid=73638
Aesculus glabra,deciduous,https://en.wikipedia.org/wiki?curid=1700967
Quercus rubra,deciduous,https://en.wikipedia.org/wiki?curid=66687
Tilia tomentosa,deciduous,https://en.wikipedia.org/wiki?curid=14141109
Carya glabra,deciduous,https://en.wikipedia.org/wiki?curid=9588432
Cladrastis kentukea,deciduous,https://en.wikipedia.org/wiki?curid=5735718
Morus,deciduous,https://en.wikipedia.org/wiki?curid=168010
Pseudotsuga menziesii,evergreen,https://en.wikipedia.org/wiki?curid=50691
Lagerstroemia,deciduous,https://en.wikipedia.org/wiki?curid=350745
Sassafras albidum,deciduous,https://en.wikipedia.org/wiki?curid=10097832
Picea,coniferous,https://en.wikipedia.org/wiki?curid=170718
Ulmus parvifolia,deciduous,https://en.wikipedia.org/wiki?curid=21059721
Aesculus hippocastanum,deciduous,https://en.wikipedia.org/wiki?curid=1420412
Ilex,deciduous,https://en.wikipedia.org/wiki?curid=19119938
Tilia cordata,deciduous,https://en.wikipedia.org/wiki?curid=437928
Pinus strobus,deciduous,https://en.wikipedia.org/wiki?curid=464301
Nyssa sylvatica,deciduous,https://en.wikipedia.org/wiki?curid=183631
Syringa reticulata,deciduous,https://en.wikipedia.org/wiki?curid=14332681
Eucommia ulmoides,deciduous,https://en.wikipedia.org/wiki?curid=1438003
Fraxinus pennsylvanica,deciduous,https://en.wikipedia.org/wiki?curid=2025088
Quercus robur,deciduous,https://en.wikipedia.org/wiki?curid=201415
Fraxinus americana,deciduous,https://en.wikipedia.org/wiki?curid=78914
Koelreuteria paniculata,deciduous,https://en.wikipedia.org/wiki?curid=621405
Quercus shumardii,deciduous,https://en.wikipedia.org/wiki?curid=2230719
Ulmus pumila,deciduous,https://en.wikipedia.org/wiki?curid=3642692
Juglans nigra,deciduous,https://en.wikipedia.org/wiki?curid=1115575
Salix babylonica,deciduous,https://en.wikipedia.org/wiki?curid=1922158
